Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
small/encode/base64,2.1958817540290123e-6,2.141522273519266e-6,2.2884819958137685e-6,2.337623696393112e-7,1.560236605127119e-7,3.600457991311636e-7
small/decode/memory,3.349485201096987e-7,3.2961236419905766e-7,3.402285685178194e-7,1.8713792312399943e-8,1.4263223065628047e-8,2.809891739553447e-8
small/decode/base64-bytestring,1.0748317617875364e-7,1.0574507453296392e-7,1.0911304086921708e-7,5.829298004632976e-9,5.119338697983492e-9,6.790366836143568e-9
medium/encode/memory,1.0549523704416742e-6,1.0126811484914535e-6,1.0954457983722117e-6,1.4087200990602548e-7,1.298841811399844e-7,1.5338016590629466e-7
medium/encode/base64-bytestring,8.446118782991767e-6,8.159885127040194e-6,8.820148842529634e-6,1.0538217938587124e-6,9.062033188941895e-7,1.3342929471182138e-6
medium/encode/base64,8.223315967282724e-6,8.017512850501058e-6,8.465353790412794e-6,7.309646063855064e-7,6.379314248954189e-7,8.859616911810622e-7
medium/decode/memory,2.2871043166428142e-6,2.211018697370346e-6,2.3690231882004986e-6,2.5731302272286773e-7,2.2987908722419492e-7,2.9581309884651336e-7
medium/decode/base64-bytestring,2.2375973057128488e-6,2.1671213548594133e-6,2.2911503281231145e-6,2.030559255310863e-7,1.7731294422460815e-7,2.3608784289863996e-7
large/encode/memory,6.594000079703495e-6,6.4622414351755884e-6,6.790029406425953e-6,5.051252551511852e-7,3.7382256607200483e-7,7.342573613497189e-7
large/encode/base64-bytestring,8.593735587891027e-5,8.425035415744179e-5,8.798091205587872e-5,5.945740415680101e-6,4.646162792940013e-6,8.380009861102192e-6
